Topic,Count,Name,Representation,Llama2,Representative_Docs
9,297,9_bank_banking_financial_assets,"['bank', 'banking', 'financial', 'assets', 'investment', 'services', 'company', 'largest', 'branches', 'management']","['Financial Institutions and Assets', '', '', '', '', '', '', '', '', '']","['royal bank was a private commercial bank established as z bank on 2 august 1993 . the bank provided financial services for individual customers , small and mid size businesses . the last supervisory board took the control over the bank in 2004 and initiated a program on restructuring the', 'k h bank or kereskedelmi s hitelbank is one of the biggest commercial bank in hungary , owned by kbc bank of belgium . k h bank has total assets of eur 8.6 billion and k h is one of the leading financial institutions in hungary in terms of both', 'bank , sunshine state community bank , first national bank of central florida , cortez community bank , coastal bank , first peoples bank , and great florida bank .']"
10,296,10_cup_uefa_champions_final,"['cup', 'uefa', 'champions', 'final', 'competition', 'match', 'porto', 'league', 'teams', 'champions league']","['UEFA Champions League and Europa League', '', '', '', '', '', '', '', '', '']","[""the 2016 17 uefa europa league is the 46th season of europe 's secondary club football tournament organised by uefa , and the eighth season since it was renamed from the uefa cup to the uefa europa league . the 2017 uefa europa league final will be played at the"", ""the 2017 uefa europa league final will be the final match of the 2016 17 uefa europa league , the 46th season of europe 's secondary club football tournament organised by uefa , and the 8th season since it was renamed from the uefa cup to the uefa europa league"", ""the 2003 04 uefa champions league was the 12th season of uefa 's premier european club football tournament , the uefa champions league , since its rebranding from the european cup in 1992 , and the 49th tournament overall . the competition was won by portugal 's porto , who""]"
11,295,11_bridge_span_built_river,"['bridge', 'span', 'built', 'river', 'bridge built', 'spans', 'truss', 'arch', 'traffic', 'deck']","['Historic Bridges', '', '', '', '', '', '', '', '', '']","['company . in 1979 it was listed on the national register of historic places . by 1991 the bridge had deteriorated to the point where it needed to be renovated . a temporary bridge was built alongside the current bridge , and the anoka champlin bridge was torn down to', 'the mcmillin bridge ( also known as the puyallup river bridge ) is a concrete half through truss bridge crossing the puyallup river , in pierce county , washington , built in 1966 . the bridge is signed as part of state route 162 . the main span of the', 'kansas city , kansas . in 1970 , the bridge was resurfaced , repainted , and a new sister bridge was built . the new sister bridge is a two lane girder bridge that would now carry southbound lanes , making the deck truss bridge into a northbound bridge only']"
12,274,12_stakes_thoroughbred_racehorse_thoroughbred racehorse,"['stakes', 'thoroughbred', 'racehorse', 'thoroughbred racehorse', 'year old', 'bred', 'races', 'sire', 'racing', 'old']","['Thoroughbred Racing', '', '', '', '', '', '', '', '', '']","['artaius ( foaled 1974 ) was an american bred , irish trained thoroughbred racehorse and sire . in a brief racing career which lasted from the autumn of 1976 until august 1977 he ran seven times and won three races . in 1977 he was one of the leading three', 'sweet solera ( 1958 1978 ) was an irish bred , british trained thoroughbred racehorse . in a racing career lasting from june 1960 until june 1961 , the unfashionably bred filly ran eight times and won six races . as a two year old she was beaten in her', 'kris ( 1976 2004 ) was a british thoroughbred racehorse . as a two year old in 1978 he was unbeaten in four races including the horris hill stakes , but was rated some way below the best of his generation . in the following year he won the greenham']"
13,274,13_class_cricket_cricketer_batsman,"['class', 'cricket', 'cricketer', 'batsman', 'matches', 'wickets', 'right', 'innings', 'debut', 'english cricketer']","['English Cricketers', '', '', '', '', '', '', '', '', '']","['vaughan john pascal broadley ( born 4 april 1972 ) is a former english cricketer . broadley was a right handed batsman who bowled right arm medium fast . he was born at sutton in ashfield , nottinghamshire . broadley made a single first class appearance for nottinghamshire against derbyshire', 'frederick tate ( 6 june 1844 24 april 1935 ) was an english cricketer . tate was a right handed batsman who bowled right arm roundarm fast . tate made his first class debut for hampshire in 1870 against lancashire . on debut tate took his only first class five', 'last few matches of the season and never played first class cricket again . skinner was a right handed batsman in the lower middle order and played 36 innings in 23 first class matches with an average of 13 . 57 and a top score of 63 . he was']"
14,255,14_hurling_senior_ireland_inter,"['hurling', 'senior', 'ireland', 'inter', 'medals', 'inter county', 'team', 'championship', 'senior team', 'county']","['Irish Hurling Championship', '', '', '', '', '', '', '', '', '']","['on the inter county scene at the age of sixteen when he first linked up with the kilkenny minor team . an all ireland winning captain in this grade , he later won two all ireland medals with the under 21 team . cody made his senior debut during the', 'on to enjoy a fifteen year inter county career , and won five all ireland medals , five munster medals , three leinster medals and four national hurling league medals . he was an all ireland runner up on two occasions . howard represented the munster and leinster inter provincial', 'liam cronin ( born 1968 ) is an irish retired gaelic footballer who played for the tipperary senior team . born in clonmel , county tipperary , cronin first excelled at gaelic football in his youth . he arrived on the inter county scene at the age of seventeen when']"
15,253,15_war_commander_army_officer,"['war', 'commander', 'army', 'officer', 'cross', 'military', 'world war', 'served', 'general', 'air']","['Military leaders and awards during World War II', '', '', '', '', '', '', '', '', '']","[""wolfgang tonne ( 28 february 1918 20 april 1943 ) was a german former luftwaffe fighter ace and recipient of the knight 's cross of the iron cross with oak leaves ( german ritterkreuz des eisernen kreuzes mit eichenlaub ) during world war ii . the knight 's cross of"", 'richard emmel nugent ( december 12 , 1902 november 5 , 1979 ) was a lieutenant general in the united states air force who , among other positions , commanded the xxix tactical air command supporting the ninth army during world war ii . his first five years of service', ""johann mickl ( 18 april 1893 10 april 1945 ) was an austrian born generalleutnant and division commander in the german army during world war ii , and was one of only 882 recipients of the knight 's cross of the iron cross with oak leaves . he was commissioned""]"
16,245,16_space_satellite_spacecraft_launched,"['space', 'satellite', 'spacecraft', 'launched', 'launch', 'orbit', 'kosmos', 'mission', 'rocket', 'nasa']","['Russian Space Program', '', '', '', '', '', '', '', '', '']","['due to a launch failure it did not depart low earth orbit . the 3mv 4 no . 6 spacecraft was originally built for a mission to mars , with launch scheduled for late 1964 . after it was not launched by the end of its launch window , the', 'progress m 11m ( russian 11 ) , identified by nasa as progress 43 or 43p , is a progress spacecraft which was launched on june 21 , 2011 to resupply the international space station . it was the eleventh progress m 11f615a60 spacecraft to be launched . the spacecraft', 'built by the yuzhnoye design bureau , and was used to investigate micrometeoroids and particles of dust in space . a kosmos 2i 63sm carrier rocket was used to launch kosmos 163 into low earth orbit . the launch took place from site 86 1 at kapustin yar . the']"
17,231,17_swimming_swimmer_freestyle_medley,"['swimming', 'swimmer', 'freestyle', 'medley', '100', 'breaststroke', 'olympics', '200', 'summer olympics', 'relay']","['Swimming at the Summer Olympics', '', '', '', '', '', '', '', '', '']","[""gordon 's college during his school years . he represented great britain at the 2008 summer olympics in beijing , competing the 400 metre freestyle and 4 200 metre freestyle relay swimming events . four years later at the 2012 summer olympics in london , he swam in the 400"", 'susan pamela jenner ( born 26 march 1960 ) is a british former competition swimmer who won a bronze medal in the 200 metre butterfly at the 1977 european aquatics championships . she also competed in the 4 100 metre medley relay and 100 metre butterfly at the 1976 summer', ""year old , at the 2004 summer olympics in athens , competing in two swimming events . in the 200 m individual medley , tzavella challenged seven other swimmers , including u.s . swimmer and three time olympian amanda beard on the third heat of the morning 's preliminaries .""]"
18,231,18_hospital_health_medical_care,"['hospital', 'health', 'medical', 'care', 'center', 'medical center', 'patients', 'services', 'hospitals', 'children']","['Healthcare Services and Facilities', '', '', '', '', '', '', '', '', '']","['navicent health , formerly the medical center of central georgia ( mccg ) is a 637 bed hospital located in macon , georgia . navicent health is the second largest hospital in georgia , behind grady memorial hospital in atlanta . navicent is a teaching hospital affiliated with mercer university', 'general hospital , metrowest medical center , signature healthcare brockton hospital and cape cod hospital . floating hospital specialty centers in framingham , woburn , chelmsford , westford and lawrence provide sub specialist care for children on an outpatient basis .', '1 . general hospital 2 . orthopedic and neurological sciences hospital 3 . cardiovascular surgery hospital 4 . paediatrics hospital 5 . gynecology hospital 6 . oncology hospital 7 . diagnosis and treatment building 8 . physical therapy and rehabilitation hospital 9 . high security forensic psychiatry hospital']"
19,227,19_game_video game_playstation_developed,"['game', 'video game', 'playstation', 'developed', 'video', 'released', 'game developed', 'games', 'nintendo', 'release']","['Video Games Development and Release', '', '', '', '', '', '', '', '', '']","['live wire ! is a video game for the playstation and pc . it was released on april 10 , 1999 by sci games and was developed by the code monkeys . the game was only released in europe . the game is an amidar style games which sees four', 'wasteland 2 is a post apocalyptic role playing video game developed by inxile entertainment and published by deep silver for microsoft windows , os x , linux , playstation 4 , and xbox one . it is the first official sequel to the 1988 video game wasteland ( though 1990', ""the warriors is a beat 'em up video game , developed by rockstar toronto and published by rockstar games . it was released on october 17 , 2005 for playstation 2 , xbox and was later released for playstation portable and ps3 . a ps4 version of the game was""]"
20,222,20_museum_art_collection_museum located,"['museum', 'art', 'collection', 'museum located', 'history', 'museums', 'collections', 'gallery', 'exhibitions', 'houses']","['Museum Collections and Art Galleries', '', '', '', '', '', '', '', '', '']","['houses some 20 , 000 asian artifacts , making it one of the largest museums of ancient asian art in the world . the museum is located in the same building as the ethnological museum of berlin . the museum houses important collections of art houses of south , southeast', 'the pitt rivers museum is a museum displaying the archaeological and anthropological collections of the university of oxford in oxford , england . the museum is located to the east of the oxford university museum of natural history , and can only be accessed through that building . the museum', 'the frans hals museum is a hofje that is home to the municipal museum in haarlem , netherlands , that was established in 1862 . in 1950 , the museum was split in two locations when the collection of modern art was moved to the museum de hallen . the']"
21,218,21_baseball_major league_league baseball_pitcher,"['baseball', 'major league', 'league baseball', 'pitcher', 'sox', 'major', 'league', 'professional baseball', 'red sox', 'mlb']","['Major League Baseball Players', '', '', '', '', '', '', '', '', '']","['alpha eugene brazle ( october 19 , 1913 october 24 , 1973 ) was a major league baseball pitcher . the left hander was signed by the boston red sox as an amateur free agent in 1936 , and later traded to the st . louis cardinals for pitcher mike', 'major league baseball player . drafted by the st . louis cardinals in the third round of the 1988 mlb amateur draft , cromer made his major league baseball debut with the st . louis cardinals on september 7 , 1993 . he appeared in his last major league game', 'franklin james kreutzer is a former major league baseball pitcher . kreutzer was signed as an amateur free agent in 1961 by the boston red sox . in november he was drafted away from the red sox by the chicago white sox . frank made his debut on september 20']"
22,198,22_dam_water_reservoir_river,"['dam', 'water', 'reservoir', 'river', 'power', 'hydroelectric', 'construction', 'power station', 'flood', 'capacity']","['Hydroelectric Power Plants and Dams', '', '', '', '', '', '', '', '', '']","['the tangevaerket dam is an earth fill embankment dam on the guden river just east of the town of tange in viborg municipality , denmark . the primary purpose of the dam is hydroelectric power production and it supports a 3.3 mw power station which is the largest in the', ""isawa dam ( ) is an embankment dam on the isawa river in iwate prefecture , japan . it was constructed between 1983 and 2013 . its reservoir , which submerged the smaller ishibuchi dam upstream , was full in may 2013 . the dam 's 15 . 7 mw"", 'the ivaylovgrad dam ( "" "" ) is located in the eastern rhodope mountains and is situated on the arda river , southern bulgaria . there are another two large dams of the arda upstream kardzhali dam and studen kladenets dam to the west of ivaylovgrad dam . the reservoir']"
23,195,23_court_case_supreme court_supreme,"['court', 'case', 'supreme court', 'supreme', 'states supreme', 'states', 'united states', 'court case', 'decision', 'law']","['Legal Cases and Decisions', '', '', '', '', '', '', '', '', '']","['foster v . chatman , 578 u.s . ( 2016 ) , was a united states supreme court case in which the court held that the state law doctrine of res judicata does not preclude a batson challenge against peremptory challenges if new evidence has emerged . the court held', 'united states v . enmons , 410 u.s . 396 ( 1973 ) , was a united states supreme court case in which the court held that the federal anti racketeering act of 1934 , known as the hobbs act , does not cover union violence in furtherance of the', 'glidden co . v . zdanok ( consolidated with lurk v . united states ) , 370 u.s . 530 ( 1962 ) , is a united states supreme court case in which the court held that judges of the court of claims and the court of customs and patent']"
24,195,24_vfl_australian rules_rules footballer_australian,"['vfl', 'australian rules', 'rules footballer', 'australian', 'rules', 'victorian football', 'victorian', 'footballer', 'melbourne', 'football league']","['VFL Footballers - Australian Rules', '', '', '', '', '', '', '', '', '']","['ken peucker ( 2 february 1935 15 february 2005 ) was an australian rules footballer who played with essendon in the victorian football league ( vfl ) . recruited from the lincoln stars in the essendon district football league , peucker started out at essendon in the under 19s and', ""john may ( born 15 april 1951 ) is a former australian rules footballer who played with essendon in the victorian football league ( vfl ) . may was recruited to play for essendon 's under 19s from west coburg in the essendon district football league . in 1970 ,"", ') was an australian rules footballer who played with fitzroy in the victorian football league ( vfl ) .']"
25,194,25_conference_ncaa_season_home games,"['conference', 'ncaa', 'season', 'home games', 'ncaa division', 'men basketball', 'played home', 'team represented', 'division', 'basketball']","[""NCAA Men's Basketball Teams"", '', '', '', '', '', '', '', '', '']","[""the 2012 13 wofford terriers men 's basketball team represented wofford college during the 2012 13 ncaa division i men 's basketball season . the terriers , led by 11th year head coach mike young , played their home games at the benjamin johnson arena and were members of the"", ""the 2015 16 arizona wildcats men 's basketball team represented the university of arizona during the 2015 16 ncaa division i men 's basketball season . the team was led by seventh year head coach sean miller , and played their home games at mckale center in tucson , arizona"", ""the 2011 12 unc asheville bulldogs men 's basketball team represented the university of north carolina at asheville during the 2011 12 ncaa division i men 's basketball season . the bulldogs , led by 16th year head coach ed biedenbach , played their home games at the brand new""]"
26,184,26_mall_shopping_shopping mall_stores,"['mall', 'shopping', 'shopping mall', 'stores', 'opened', 'center', 'retail', 'store', 'located', 'sears']","['Retail centers and stores', '', '', '', '', '', '', '', '', '']","['the mall of victor valley is a shopping mall located in victorville , california . it is managed by the macerich company . the mall is located near interstate 15 and bear valley road . the mall has five anchors jcpenney , sears , cinemark 16 screen theatre , macy', ""west ridge mall is an enclosed shopping mall in topeka , kansas . opened in 1988 and renovated in 2005 . the mall has six anchor stores burlington , dillard 's , furniture mall of kansas , jcpenney , sears , and macy 's . it is one of the"", 'totem lake mall was a small shopping mall in kirkland , washington , united states . the center consisted of an enclosed shopping mall ( lower mall ) , and an adjacent strip mall ( upper mall ) . collectively , the two centers were sometimes referred to as ""']"
27,181,27_ibn_ali_al_son,"['ibn', 'ali', 'al', 'son', 'sultan', 'dynasty', 'shah', 'muhammad', 'mirza', 'reign']","['Medieval Middle Eastern history and politics', '', '', '', '', '', '', '', '', '']","[""abu'l aswar or abu'l asvar shavur ibn fadl ibn muhammad ibn shaddad was a member of the shaddadid dynasty . between 1049 and 1067 he was the eighth shaddadid ruler of arran ( today in western azerbaijan ) from ganja . prior to that , he ruled the city of"", ""under khalid ibn al walid 's command soundly defeated the sassanian auxiliary force , which included large numbers of non muslim arabs who broke earlier covenants with the muslims . according to non muslim sources , khalid ibn al walid captured the arab christian commander , aqqa ibn qays ibn"", "", a grandson of ayatollah sayyid ali and brother of ali mohammad dastgheib shirazi , is no longer representative of the assembly of experts . during his 2013 decree by ali khamenei , trustee shrine of shah cheragh and muhammad ibn musa ibn ja'far claimed in shiraz .""]"
28,181,28_asteroid_observatory_diameter_belt,"['asteroid', 'observatory', 'diameter', 'belt', 'discovered', 'albedo', 'kilometers', 'astronomer', 'asteroids', 'au']","['Asteroid measurements and discoveries', '', '', '', '', '', '', '', '', '']","['3070 aitken , provisional designation 1949 gk , is a stony flora asteroid from the inner regions of the asteroid belt , about 4 kilometers in diameter . it was discovered on 4 april 1949 , by the u.s . indiana asteroid program of indiana university at goethe link observatory', '1856 r ena , provisional designation 1969 tw1 , is a stony asteroid from the inner regions of the asteroid belt . it was discovered on 8 october 1969 , by russian female astronomer lyudmila chernykh at crimean astrophysical observatory in nauchnyj . the asteroid orbits the sun at a', 'infrared survey explorer , the asteroid measures 8.1 kilometers in diameter and its surface has an albedo of 0 . 22 , while the collaborative asteroid lightcurve link assumes a standard albedo for stony asteroids of 0 . 20 and calculates a diameter of 8.6 kilometers . the minor planet']"
29,168,29_ohio_served_house representatives_congresses,"['ohio', 'served', 'house representatives', 'congresses', 'practice', 'representatives', 'elected', 'wisconsin', 'admitted bar', 'south carolina']","['Political careers in Ohio and South Carolina', '', '', '', '', '', '', '', '', '']","['from south carolina college at columbia in 1813 . he served as member of the state house of representatives 1820 1821 . govan was elected as a democratic republican to the seventeenth congress to fill the vacancy caused by the death of james overstreet . govan was elected as a', 'engaging in mercantile pursuits . spangler then studied law and was admitted to the bar in 1824 . he commenced practice in zanesville . he was an unsuccessful candidate for election to the state house of representatives in 1830 . he then moved to coshocton , ohio in 1832 and', 'in 1839 . he studied law . he was admitted to the bar in 1841 and commenced practice in chillicothe , ohio . he served as prosecuting attorney of ross county , ohio , from 1844 to 1848 . he served as member of the state house of representatives in']"
30,163,30_bishop_church_archbishop_ordained,"['bishop', 'church', 'archbishop', 'ordained', 'catholic', 'diocese', 'pope', 'anglican', 'priest', 'catholic church']","['Catholic Church hierarchy', '', '', '', '', '', '', '', '', '']","['it has both a titular bishop and a diocesan bishop .', 'acque regie and auxiliary bishop of monterrey by pope benedict he was ordained a bishop on august 24 . on july 10 , 2009 , he was appointed bishop of cuernavaca , taking canonical possession of the diocese on august 18 .', 'elmer osmar ram n miani ( april 22 , 1933 may 25 , 2014 ) was a roman catholic bishop . ordained to the priesthood in 1958 , miani was named titular bishop of carciri and auxiliary bishop of the roman catholic diocese of c rdoba , argentina in 1983']"
31,163,31_australian_labor_australian politician_minister,"['australian', 'labor', 'australian politician', 'minister', 'election', 'australia', 'seat', 'western australia', 'legislative', 'state election']","['Australian Political Figures', '', '', '', '', '', '', '', '', '']","[""john sibson ( 16 january 1930 11 december 2014 ) was an australian politician who was a liberal party member of the legislative assembly of western australia from 1973 to 1983 , representing the seat of bunbury . sibson was born in perth , but raised on his parents' farm"", 'frederick gill ( 15 march 1862 17 april 1936 ) was an australian politician who was a labor party member of the legislative assembly of western australia from 1904 to 1905 and again from 1908 to 1914 . gill was born in burra , south australia , to eliza jane', 'thomas patrick murphy ( 13 december 1906 11 september 1978 ) was an australian politician and a member of the new south wales legislative assembly between 1953 and 1968 . he was a member of the australian labor party ( alp ) and held the minor government position of assistant']"
32,157,32_hockey_nhl_hockey league_ice hockey,"['hockey', 'nhl', 'hockey league', 'ice hockey', 'ice', 'national hockey', 'professional ice', 'hockey player', 'canadian professional', 'bruins']","['NHL players', '', '', '', '', '', '', '', '', '']","['tyler paul seguin ( born january 31 , 1992 ) is a canadian professional ice hockey centre currently playing for the dallas stars of the national hockey league ( nhl ) . seguin was selected second overall in the 2010 nhl entry draft by the boston bruins and went on', ""adam mcquaid ( born october 12 , 1986 ) is a canadian professional ice hockey defenceman currently playing for the boston bruins of the national hockey league ( nhl ) . he has also played with boston 's american hockey league ( ahl ) affiliate , the providence bruins ."", 'tyler gaudet ( born april 4 , 1993 ) is a canadian professional ice hockey player . he is currently with the tucson roadrunners in the american hockey league ( ahl ) while under contract to the arizona coyotes of the national hockey league ( nhl ) . tyler scored']"
33,155,33_church_st_parish_building,"['church', 'st', 'parish', 'building', 'parish church', 'chapel', 'cathedral', 'church built', 'built', 'grade']","['Historic Church Buildings', '', '', '', '', '', '', '', '', '']","['knutsford . the church is recorded in the national heritage list for england as a designated grade i listed building . the church is an active anglican parish church in the diocese of chester , the archdeaconry of macclesfield and the deanery of knutsford . its benefice is combined with', ""st kentigern 's church , crosthwaite is a church at great crosthwaite on the outskirts of keswick in cumbria , england . it is the anglican church of the parish of crosthwaite . since 1951 it has been a grade ii listed building . the church has an evangelical tradition"", 'the church of st . mary is the parish church in the village of worsborough in south yorkshire , england . it is a church of england church in the diocese of sheffield . the building is grade i listed and was built in the 12th century , however evidence']"
34,153,34_election_republican_democratic_presidential,"['election', 'republican', 'democratic', 'presidential', 'governor', 'incumbent', 'presidential election', 'elections', 'senate', 'states']","['United States Presidential Elections', '', '', '', '', '', '', '', '', '']","['the 1904 united states presidential election in wisconsin was held on november 8 , 1904 . wisconsin voters chose thirteen electors to the electoral college , who voted for president and vice president . republican party candidate and incumbent president theodore roosevelt won the state with 63 of the popular', 'the 1996 united states presidential election in new hampshire took place on november 5 , 1996 , as part of the 1996 united states presidential election . voters chose four representatives , or electors to the electoral college , who voted for president and vice president . although traditionally a', 'the 1988 united states presidential election in new york took place on november 8 , 1988 , as part of the 1988 united states presidential election . voters chose thirty six representatives , or electors to the electoral college , who voted for president and vice president . new york']"
35,146,35_saint_feast_feast day_martyrs,"['saint', 'feast', 'feast day', 'martyrs', 'killed', 'monastery', 'catholic', 'roman', 'pope', 'saints']","['Christian Martyrs and Saints', '', '', '', '', '', '', '', '', '']","['saints victorian , frumentius and companions are venerated as christian martyrs of the roman catholic church . they were killed at adrumetum in 484 by the arian vandals . accounts of their martyrdom state that huneric , king of the vandals , began persecuting catholic priests and virgins in 480', 'saint stephanie ( died 160 ) is an eastern orthodox saint . her feast day is november 11 , the same as that of saint victor of damascus . she lived in gamponia during the reign of antoninus pius . roman soldiers arrested victor as a christian and cut off', 'victor of xanten or saint victor is a martyr and saint of the catholic and the eastern orthodox church . his presumed bones are kept in a shrine since the 12th century that today is embedded into the high altar of the xanten cathedral . his feast day is october']"
