Topic,Count,Name,Representation,Llama2,Representative_Docs
9,224,9_fountain_water_pet fountain_pet,"['fountain', 'water', 'pet fountain', 'pet', 'bowl', 'faucet', 'platinum', 'cats', 'reservoir', 'filters']","['Pet Water Fountains: Pros, Cons, and Maintenance', '', '', '', '', '', '', '', '', '']","['aspen pet cool flow pet fountain this is my fourth pet mate water fountain . and i do love how they keep the water circulating and the kitties drinking . but the first one i had lasted two years before the motor wore out and possibly part of the housing', ""aspen pet cool flow pet fountain the fountain works fine and seems to be well designed and constructed . my cat drank out of it once when i first got it , but has n't touched it since . i 've tried fresh water , filtered water , with the"", 'drinkwell original pet fountain we bought the drinkwell pet fountain because my cat loves to drink out of the bathroom faucet . we have had many issues with it being dirty . we have to completely empty , dismantle and disinfect it every two to three days , or it']"
10,200,10_toys_toy_play_mirror,"['toys', 'toy', 'play', 'mirror', 'loves', 'horse', 'keeps', 'wants', 'gets', 'music']","['Infant Playtime Preferences', '', '', '', '', '', '', '', '', '']","['which none of his others toys can .', ""himself in the mirror he 's fascinated by it . he also enjoys kicking the various quot noise makers quot the crinkly elephant ear and the squeak toy by the monkey . this is also good for when baby wants to be on his back lots of hanging toys that"", 'he loves pushing the lever to make the gumball machine play music . he also likes to try digging the balls out of the top of the toy . he will play with the gumball machine for 30 min . to an hour or so before he wants to move']"
11,196,11_toy_toys_triangle_play,"['toy', 'toys', 'triangle', 'play', 'months', 'interested', 'plays', 'likes', 'favorite toys', 'll']","['Parenting and toddler development', '', '', '', '', '', '', '', '', '']","[""it across the room and i feel like a dog playing fetch ) i think i like the toy more than she does , especially the sounds it makes . perhaps she 'll begin to enjoy it more again , who knows what cycles these little ones go through ,"", 'names and especially what those names are . i have said , "" where \'s the triangle ? go get the triangle . let \'s put the triangle in this hole . "" when she was 13 months , half the time i \'d have to go pick up the', ""triangle because there were too many things and she did n't know which object the triangle was but eventually she learned it and now she knows which hole the triangle goes in . i 'm sure if i was more vocal with colors she would be there too . i""]"
12,188,12_gate_gates_north states_north,"['gate', 'gates', 'north states', 'north', 'stairs', 'hands free', 'extra tall', 'states', 'install', 'extension']","['Gate options for baby proofing', '', '', '', '', '', '', '', '', '']","['dreambaby extra tall swing close gate i bought this gate for my dogs , and it is perfect . i keep it up in my doorway and do not regret it at all . it is tall , easy to put together , sturdy , and overall a great gate', 'the first years simple secure stair gate we purchased this gate in december 2005 . our twin boys started crawling and we needed a gate for the top of the stairs . this gate worked great for about 5 months and then the knobs broke . our friends have the', 'dreambaby extra tall swing close gate this gate is simply amazing and offers a piece of mind . i have received many compliments on my gate . we own the white gate and the black . the gate was easy to assemble and has stumped many adults ! sofar this']"
13,186,13_massager_massage_pain_massaging,"['massager', 'massage', 'pain', 'massaging', 'therapist', 'wand', 'neck', 'magic wand', 'hitachi', 'homedics']","['Massagers for pain relief', '', '', '', '', '', '', '', '', '']","['wahl 4120 200 all body massage powerful therapeutic massager in pharmacy box i have a lot of minor aches and pains and this wahl personal massager puts the massage right where it needs to be . most recently purchased for a pinched nerve in my elbow . i use the', ""massager for a few mnutes and get a few hours of natural pain relief . i recommend this wondeful massager for the anyone with aches and pains , and who does n't have a personal massager . if you have to do things by your self this is the massager"", ""wahl 4120 200 all body massage powerful therapeutic massager in pharmacy box this product is o.k . for the price . however one of the massager pieces was not made properly and would not fit on to the base ergo it would n't work . it was one of the""]"
14,183,14_color_hair_hair color_henna,"['color', 'hair', 'hair color', 'henna', 'brown', 'blonde', 'dye', 'gray', 'permanent', 'coloring']","['Hair coloring and dyeing', '', '', '', '', '', '', '', '', '']","[""surya henna henna cream light brown this hair coloring brand is the best i 've ever used and i 've been coloring my own hair for 23 years . i am very grey and have long hair . my hair feels softer than it has since my teens . love"", ""dark and lovely reviving semi permanent hair color i love this semi permanent hair color . it has built in detangler so it makes it really easy to comb through . excess dye washes right off of scalp , does n't have an odor , and does n't burn the"", 'surya henna henna cream light brown i have naturally curly hair in a dark brown color and wanted the strawberry blonde boost for the summer however this product did not lighten up my hair color very much however it did make it really soft . i might try a lighter']"
15,179,15_diaper_champ_pail_diaper champ,"['diaper', 'champ', 'pail', 'diaper champ', 'genie', 'baby trend', 'trend', 'diapers', 'diaper pail', 'smell']","['Diaper Pail Reviews: Baby Trend Champ', '', '', '', '', '', '', '', '', '']","['baby trend diaper champ we purchased this diaper pail after trying the "" odorless "" pail for 14 and the "" diaper genie "" ( second hand ) for 5 . i was very disappointed with the performance and smell of the odorless pail , and very suprised at the', 'baby trend diaper champ i love this diaper pail ! my kids are very close together and we are working on our second one now after three years and two still in diapers ! ! it is more exspensive than the other pails , but really worth it ! !', ""baby trend diaper champ first of all , i do n't know of a single diaper pail will keep the odor of a poopy diaper contained . those go right in the garbage outside ! this diaper pail is economical , you can buy bulk garbage bags or even scented""]"
16,174,16_pillow_boppy_pillows_snoogle,"['pillow', 'boppy', 'pillows', 'snoogle', 'pregnancy', 'leachco', 'support', 'sleep', 'belly', 'wedge']","['Pregnancy Pillow Options', '', '', '', '', '', '', '', '', '']","[""leachco back 'n belly contoured body pillow i could n't even get comfortable for 5 mins with this pillow much less try it for a whole night . it 's huge , bulky and the top of the pillow where it rounds just digs into your neck . i sent"", 'my brest friend pillow i love this pillow and it makes breastfeeding so much easier ! for the tigh budget , this is not an essential item though and you might get a free pillow at the hospital , typically a boppy . i use the boppy pillow to support', ""leachco back 'n belly contoured body pillow i was never a good sleeper . then i was about 4 months pregnant and not sleeping at all . heard great things about this pillow . none of them were lies . it is heaven . since receiving this pillow and now""]"
17,170,17_lotion_skin_cream_dry skin,"['lotion', 'skin', 'cream', 'dry skin', 'oz', 'lotions', 'moisturizer', 'body', 'moisturizing', 'body lotion']","['Best Body Lotions for Dry Skin', '', '', '', '', '', '', '', '', '']","['queen helene mango cocoa butter hand and body lotion body lotions this works great for dry skin problems i have had and it smells great as well', 'rubee hand body lotion 16 oz . i knew this lotion since i was in cameroon , in africa . when i came in usa , i found it and i was very happy ! ! it smell good , keep your skin moisturized , and helps protects from the', 'avalon organics hand body lotion , 12 oz first time i tried this lotion and i am hooked . the lavender smell is refreshing and strong , and the lotion leaves your skin feeling soft and moisturized . i like that my skin feels revitalized after i put the lotion']"
18,169,18_protein_whey_nutrition_whey protein,"['protein', 'whey', 'nutrition', 'whey protein', '100 whey', 'optimum nutrition', 'powder', 'optimum', 'gold standard', 'protein powder']","['Protein Powder Comparison', '', '', '', '', '', '', '', '', '']","[""now foods whey protein this is the finest protein powder i 've found so far . 1st , it 's mostly protein . 25g in 28g serving 89 protein . very good . if it 's not protein in the other brands , what is it ? a lot of"", ""optimum nutrition 100 whey gold standard i 'm a 40 something mom who works out regularly and wanted to start using whey protein as a recovery meal after working out . at 24 grams of protein per serving , it 's hard to rival as a quick , low calorie"", ""optimum nutrition 100 whey gold standard on protein not only taste great but it mixes easy with water as well ( for the portable shakers ) . i 've tried many different protein powders and on whey is by far the best one . it 's a good protein supplement""]"
19,166,19_pump_medela_breast_breast pump,"['pump', 'medela', 'breast', 'breast pump', 'isis', 'pumping', 'pump style', 'medela pump', 'pumps', 'manual']","['Breast Pump Comparison: Medela vs Evenflo', '', '', '', '', '', '', '', '', '']","[""evenflo comfort select dual auto cycling breast pump we bought this pump as an emergency backup . it is good enough to be a cheap item that you keep in your car , but i 'd never have considered this to replace my medela pump in style advanced . the"", 'medela swing breast pump i just received this pump after trying to pump manually and this little pump is so great ! i tried so many times to manually pump and it is extremely tiring and i was only getting 2 ounces total from both sides ! this pump works', ""medela swing breast pump it does a wonderful job . i do n't have to pump every day . if i do have to pump the pump is very easy to put together and i can pump what i need in ten minutes .""]"
20,165,20_shampoo_conditioner_hair_oz,"['shampoo', 'conditioner', 'hair', 'oz', 'scalp', 'shampoos', 'shampoo conditioner', 'dry', 'dry shampoo', 'select option']","['Hair care products and their effectiveness', '', '', '', '', '', '', '', '', '']","[""f.a.s.t . nisim fast shampoo conditioner 12 oz . each for fast hair growth ! i have been using nisim fast shampoo for about a week now . i already am in love with this product ! i use it every day as directed and it does n't dry my"", 'f.a.s.t . hair growth shampoo and conditioner combo pack 12 fl . oz . each love this shampoo and conditioner ! smells great ! it is also worth the price ! not positive about whether it has made my hair grow faster but i think it has . my hair', ""f.a.s.t . nisim fast shampoo conditioner 12 oz . each for fast hair growth ! there is nothing special about this product it is just regular shampoo and it made my scalp dry my hair did n't even grow""]"
21,161,21_toe_heel_ankle_feet,"['toe', 'heel', 'ankle', 'feet', 'arch', 'shoes', 'foot', 'knee', 'jobst', 'socks']","['Foot care and orthotics', '', '', '', '', '', '', '', '', '']","['medi dyne diamondbacks arch w gel heel i have heel spurs nd pf , i got these hoping that my feet would not hurt anymore through out the day . i love these . i love that i can place them in any pair of shoes i own . the', 'jobst supportwear ultra sheer knee high i purchased these support stockings for my mother due to her legs swelling . when she wears them , she has no swelling at all . they have worked great .', 'toe stretchers for beautiful healthy feet for men and women small size i have toes that bend in crazy directions . it was almost impossible to wear shoes for an entire day without crippling pain even ugly orthopedic shoes ! i was even considering toe surgery . i was very']"
22,159,22_bottles_avent_nipple_bottle,"['bottles', 'avent', 'nipple', 'bottle', 'playtex', 'dr brown', 'nipples', 'dr', 'philips avent', 'flow']","['Baby Bottles Comparison', '', '', '', '', '', '', '', '', '']","['philips avent 3 pack bottles everyone used to tell me that avent bottles were the best . they were supposed to give out less air and cause less gas for the baby . when my son was born we had to give him both breast and bottle . when it', ""dr . brown 's 4 oz natural flow baby bottle , 3 pack i truly believe in dr . brown bottles ! our baby girl is five weeks old and these bottles helped with her colic and fussiness during and after eating . we used the avent bottles and they"", ""she was taking with her other bottles . however , stage 2 with these nipples is much faster a flow then our other bottles ( which are avent ) . we love the avent bottles , but unfortunately they are n't totally bpa free . the measurement thing comes in""]"
23,159,23_tub_bath_sling_bathtub,"['tub', 'bath', 'sling', 'bathtub', 'infant', 'bath tub', 'baby', 'eurobath', 'safety 1st', 'infant toddler']","['Parenting challenges with infant bathtubs', '', '', '', '', '', '', '', '', '']","['side of the tub . i would suggest a smaller tub for newborns , but they all seem to be made in china .', 'of money . anyways the night i gave my son a bath in this tub he was splashing and kicking and loving every minute of being in his new tub instead of crying in his tub he crys when it is time to get out of the tub . im', ""the first year 's infant to toddler tub with sling this is the first tub i had for my baby and i found it more of a hassle than it would have been to hold her in the tub with me . i constantly had to hold her head so""]"
24,158,24_iron_ceramic_flat_flat iron,"['iron', 'ceramic', 'flat', 'flat iron', 'chi', 'straightener', 'farouk chi', 'farouk', 'inch', 'hairstyling']","['Hair styling tools: Farouk Chi flat irons', '', '', '', '', '', '', '', '', '']","['farouk chi gf1539 turbo big 2 inch ceramic flat iron hair straightener i bought this flat iron for my 15 yeard old daughter on a recommendation of a friend . my daughter simply loves this flat iron . in fact , on friday nights many of her friends will gather', 'farouk chi 1 inch ceramic flat hairstyling iron great product ! i have purchased two others as gifts for people . best ceramic iron on the market ! ! !', ""farouk chi 1 inch ceramic flat hairstyling iron i bought this flat iron for my daughter and after a year it broke . now this would n't be a big deal had it not happened twice before in the other two flat irons we bought as well . the wiring""]"
25,156,25_clean_cleaner_cleaning_washing,"['clean', 'cleaner', 'cleaning', 'washing', 'wipe', 'washing machine', 'blinds', 'washes', 'water', 'cleaner 28']","['Cleaning and maintenance of ceramic cooktops', '', '', '', '', '', '', '', '', '']","['cerama bryte ceramic cooktop cleaner ( 28 oz ) , scraper and 5 cleaning pads combo kit yeah amazon , the best price on this kit by far , fast delivery too as usual . it works like the reviews say . i do find that if my stovetop is', 'cerama bryte ceramic cooktop cleaner ( 28 oz ) , scraper and 5 cleaning pads combo kit i first thought that any cleaner cleanser would work on my glass cook top but boy was i wrong . only cerama bryte got the tough stains off and left the range looking', ""cerama bryte ceramic cooktop cleaner ( 28 oz ) , scraper and 5 cleaning pads combo kit i almost did n't believe that this would work . i have a new stove and while cooking on it , some food spilled over and continued cooking for a few hours .""]"
26,150,26_bed_folds_queen_easily,"['bed', 'folds', 'queen', 'easily', 'beds', 'fold', 'floor', 'room', 'sleeping', 'trunk']","['Queen Bed Folding and Storage', '', '', '', '', '', '', '', '', '']","['useful beside my bed after surgery . however , it must be disassembled for storage . i was disappointed that it did not just fold down did not come apart easily to store .', ""easier for me to feed her in bed safely even when she 's feeding on the side closest to the edge of the bed . one important adjustment i made is to stuff rolled up towels in the space between the bed and the rail so that my daughter would"", 'walk around the bed trying to get up ... i would have to get up try to get ahold of her and put her in bed with us . since we acquire the steps she can come and go as she wants without having to get out of bed and']"
27,149,27_candy_haribo_gummi_chips,"['candy', 'haribo', 'gummi', 'chips', 'bears', 'ounce bags', 'bag', 'gummy', 'pound bag', 'bags']","['Gummy Candy Preferences', '', '', '', '', '', '', '', '', '']","['haribo gummy candy , sugarless gummy bears , 5 pound bag these gummi bears have a great taste and are sugar free , and the price is right . what more could you ask for .', ""haribo gummi candy , original gold bears , 5 ounce bags ( pack of 12 ) i love these gummy bears . they put me into a sugar coma though , so i try to only eat them every once in a while , but you ca n't beat the"", 'haribo gummi candy , original gold bears , 5 ounce bags ( pack of 12 ) everyone loved them . haribo gummi candy , original gold bears , 5 ounce bags ( pack of 12 )']"
28,147,28_toothbrush_sonicare_oral_brush,"['toothbrush', 'sonicare', 'oral', 'brush', 'brush head', 'philips', 'power', 'brushes', 'teeth', 'heads']","['Oral Care: Sonicare Toothbrush Reviews', '', '', '', '', '', '', '', '', '']","[""philips sonicare elite e9500 custom care power toothbrush this is my first electric toothbrush and i 'm no spring chicken so i did n't know what to expect but the sonicare 9500 is terrific . i like the timer and the 'break in' feature which keeps those new to this"", ""philips sonicare essence power toothbrush we find the sonicare to be the best toothbrush , but when i ordered replacements for our daughter 's and our own 9 year old defunct brushes , we were disappointed on two counts a ) the unit comes with a single brush head ."", ""philips sonicare hx5752 02 essence rechargeable electric toothbrush i had a prior sonicare toothbrush that lasted me for about 8 years . this is the besttoothbrush i 've ever used . your teeth feel so clean its fantastic !""]"
29,145,29_screws_screw_glue_screwdriver,"['screws', 'screw', 'glue', 'screwdriver', 'drill', 'wall', 'holes', 'hole', 'beanz', 'wires']","['Poor quality screws and their impact on furniture assembly and durability', '', '', '', '', '', '', '', '', '']","[""tight in the wood that it just eventually either strips or breaks off . yep that leaves you with a broken screw that you cannot remove . so i went and bought a second one same thing . i 'm going to the hardware store to get some better screws"", 'the screw is ready to go when lined up , screw it in . easy peazy lemon squeezy . put the panel back in place and refasten the holding screws ...... mission accomplished ! i might just buy one of these toys for myself !', 'screws ( screw heads can break off or the inserts can be rounded ) routinely found in similar materials made in romania 20 years ago , now resurface with the same outcome . for a few cents more per screw , the vendor could offer screws that could be used']"
30,144,30_potty_toilet_stool_seat,"['potty', 'toilet', 'stool', 'seat', 'step stool', 'toilet seat', 'babybjorn', 'step', 'pee', 'potty training']","['Potty Training Challenges', '', '', '', '', '', '', '', '', '']","['pri freedom trainer ( toilet trainer ) ( white ) i bought this for my son as he seemed more interested in going potty on the regular toilet than his potty chair . i also thought it would be more sanitary than the potty chair as i would not have', 'the potty stool for toddler toilet training step stool this is a great potty stool as other reviewers have noted . we have a family toilet seat called lupilu ( it shipped from australia from belles families which i highly recommend ) and this was the perfect addition to our', 'safety 1st musical talkin potty and step stool this musical potty seat was not designed by a parent . it is horrible . we have been potty training for a little while now and this potty is making the process very messy . instead of keeping things simple , they']"
31,140,31_return_refund_amazon_order,"['return', 'refund', 'amazon', 'order', 'send', 'sent', 'email', 'customer', 'service', 'company']","['Amazon Return and Refund Issues', '', '', '', '', '', '', '', '', '']","[""give me a refund . they emailed back and said they would refund only the cost of the items . i sent an email stating that that was not acceptable . this was 100 of their company 's fault , so the complete amount charged to my visa should have"", 'called customer service to request refund or store credit . was informed "" that is the risk you take when you order food online "" . guess ordering grocery items from amazon is just "" too risky "" . very poor customer service and quite a disappointment . was a', 'the "" seller "" had been contacted and i would receive instructions on how where to return the merchandise . it has been over 10 days and i still have not received a response . poor reflection on the amazon "" guarantee "" and their enforcement of customer service policy']"
32,139,32_stroller_umbrella_jogging_strollers,"['stroller', 'umbrella', 'jogging', 'strollers', 'jogging stroller', 'swivel', 'double stroller', 'umbrella stroller', 'double', 'maclaren']","['Strollers for Jogging and Running', '', '', '', '', '', '', '', '', '']","[""instep 5k single premium jogging stroller i have owned this stroller for 1.5 years and it has been a good stroller . the only complaints i have are that it is hard to steer around corners , etc . and that it 's hard to get the front wheel on"", 'schwinn free wheeler jogging stroller the schwinn jog stroller is a very easy to maneuver versatile stroller . my favorite feature is the front wheel mechanism which allows me to either lock the front wheel or put in the swivel position . for jogging i tend to use the locked', 'of my van , but what can you expect for a double stroller . all in all i would highly recommend this stroller to anyone .']"
33,136,33_pills_taking_capsules_day,"['pills', 'taking', 'capsules', 'day', 'pill', 'dosage', 'effects', 'capsules day', 'tablets', 'pills day']","['Supplement regimen for digestive health', '', '', '', '', '', '', '', '', '']","['more latitude for fine tuning dosages than some products that have only two capsules per day . for me , it works just fine . for someone who needs all four capsules per day , it may cost more per day , but you may need only three . for', 'take the recommended dosage you will never leave the bathroom ! i never take more than four pills a day and i skip a day at least once a week . also , never take them on an empty stomach or they will make your stomach hurt . always take', ""many pills that are healthy for you , many people digest harmful stuff to their body everyday , so by taking these 11 22 pills a day wo n't hurt but will help you .""]"
34,134,34_brush_bristles_shaving_bristle,"['brush', 'bristles', 'shaving', 'bristle', 'shaving brush', 'hair', 'brushes', 'shaving soap', 'brushing', 'hair brush']","['Shaving Brushes and Accessories', '', '', '', '', '', '', '', '', '']","['omega 13109 creamy curved handle pure badger shaving brush i previously had a brush that would lose bristles every time i shaved which was quite annoying , this brush is very soft and has not shed one bristle in the 8 months i have had it . note', ""tweezerman men 's shaving brush this shaving brush is perhaps the most inexpensive way to get a pure badger bristle shaving brush . i 've now been using it for over four years , and it has not shed any great quantity of its bristles like the cheaper brushes on"", 'the art of shaving brush stand , black 1 ea got an art of shaving shaving kit including a shaving brush for christmas , and wanted an inexpensive brush stand so that the brush could dry properly between uses . metal stands were much more expensive than i was willing']"
35,134,35_figure_action figure_action_figures,"['figure', 'action figure', 'action', 'figures', 'marvel', 'spiderman', 'godzilla', 'legends', 'articulation', 'venom']","['Action Figures Collection', '', '', '', '', '', '', '', '', '']","['lord of the rings trilogy fellowship of the ring action figure series 4 super poseable boromir this is most defenatly the most awsome action figure ever . i rated this figures over all review 5 stares because it has a little bit of education because you can kind of learn', 'accoutrements sherlock holmes action figure this is the best sherlock holmes action figure that i have been able to find . i display it above my small bookshelf .', 'mcfarlane toys metal gear solid 2 its a great quality action figure , but it only has two weapons with it . it looks great , the design for it . i would recommend you buy more than on action figure with this one . this action figure is no']"
36,133,36_pampers_diapers_baby dry_pampers baby,"['pampers', 'diapers', 'baby dry', 'pampers baby', 'dry diapers', 'diapers packaging', 'packaging vary', 'packaging', 'vary', 'dry']","['Pampers Baby Dry Diapers: Quality and Performance', '', '', '', '', '', '', '', '', '']","[""pampers baby dry diapers ( packaging may vary ) as the mother of twin girls ( who admittedly should be out of diapers by now ) , i can tell you that you ca n't beat pampers baby dry ! we 've tried all the other brands , but we"", 'pampers baby dry diapers ( packaging may vary ) pampers is the best ! we tried other brand ( maybe the no . 2 brand ) , but we came back to pampers and would not try any others .', 'pampers baby dry diapers ( packaging may vary ) i usually love pampers diapers but i was not impressed with the baby dry diapers . we had a lot of leaks .']"
37,133,37_soap_bronner_dr bronner_castile,"['soap', 'bronner', 'dr bronner', 'castile', 'soaps', 'castile soap', 'bronner castile', 'bar', 'dr', 'lavender']","['Dr. Bronner Castile Soap fan reviews', '', '', '', '', '', '', '', '', '']","['dr . bronner castile soap this soap is the best , i have horrible allergies to most brands of soap but not too this soap . i have been fighting dandruff for years and this product cured me . it turns out after countless dollars on high end soaps and', ""dr . bronner castile soap i 've used dr . bronner 's soap for years . i find it refreshing . it 's also a great utility soap i 've even used it to rid my garden of an infestation of caterpillars ! one warning do not use dr ."", ""dr . bronner castile soap my wife turned me on to this soap and i 'm slowly starting to use it more and more . she has been using nothing but dr . bronner 's magic soaps for the past 2 years . it reminds me of the soap my""]"
38,132,38_dryer_hair dryer_ionic_watt,"['dryer', 'hair dryer', 'ionic', 'watt', 'hair', 'tourmaline', 'hairdryer', 'ceramic', 'dryers', 'styler']","['Hair Dryer Reviews and Comparison', '', '', '', '', '', '', '', '', '']","[""revlon rv544 1875 watt tourmaline ionic lightweight dryer , silver black this hair dryer is an excellent value for the money . from what i understand consumer reports also found this dryer to be a good value . i do n't think you will be disappointed if you choose to"", 'revlon rv544 1875 watt tourmaline ionic lightweight dryer , silver black this hair dryer is a great value . it cost about 20 and dries my hair faster than my last dryer . it is lightweight , has a large , diffuser , and has actually eliminated the frizz in', 'revlon rv544 1875 watt tourmaline ionic lightweight dryer , silver black my hair is shoulder length , layered and medium thick . my old dryer ( remington d 2012 tstudio collection tourmaline and ceramic hair dryer ) took 5 10 minutes to dry my hair . this dryer took 5']"
