Topic,Count,Name,Representation,Llama2,Representative_Docs
9,94,9_airlines_blue_aviation_airline,"['airlines', 'blue', 'aviation', 'airline', 'carrier', 'air', 'cross', 'airways', 'pan', 'ba']","['Airline Industry Developments', '', '', '', '', '', '', '', '', '']","['British Airways Plc (BA) said on Tuesday that it had no plans for new alliances over the next few years, but would extend its global reach by franchising its popular brand name to smaller airlines.British Airways has an alliance with Australian carrier Qantas Airways Ltd and formed an alliance with', 'modeled after a similar agreement reached between the U.S. and Germany.American Airlines said its proposed transatlantic alliance with British Airways is contigent on the U.S. and Britain reaching an open skies agreement. The Fort Worth, Texas-based air carrier said such a pact would increase competition and benefit both British and', ""Bombay via Bangkok. India's national carrier also faces competition from other Asian carriers, Thai International Airways Ltd, Singapore Airlines Ltd and Malaysian Airline System Bhd all fly indirect services to India via their main hubs, Mathur said.Mallik, said a new air services agreement was needed because the existing Indo-UK agreement""]"
10,90,10_wheat_deliverable_stocks_grades,"['wheat', 'deliverable', 'stocks', 'grades', 'futures', 'chicago', 'crop', 'spring', 'week', 'corn']","['Agricultural commodity stocks and deliverables in Chicago', '', '', '', '', '', '', '', '', '']","[""The Chicago Board of Trade reported the following stocks of oats in Chicago, deliverable against CBOT futures. (in 000's bu). 8/16 WEEK YEAR AGO AGOTotal Deliverable Grades 0 0 221Non-Del Grades/Ungraded 0 0 210CCC Stocks 0 0 0TOTAL CHICAGO OATS STOCKS 0 0 431</"", ""The Chicago Board of Trade reported the following stocks of soybeans in Chicago, deliverable against CBOT futures. (in 000's bushels). 8/16 WEEK YEAR AGO AGOTotal Deliverable Grades 722 1,207 10,926Non-Del Grades/Ungraded 60 265 286CCC Stocks 0 0 0TOTAL CHICAGO SOYBEAN STOCKS 782 1,472 11,212</"", ""The Chicago Board of Trade reported the following stocks of wheat in Chicago, deliverable against CBOT futures. (in 000's bu). 8/16 WEEK YEAR AGO AGOSoft Red Winter 460 354 3,464Hard Red Winter 0 0 0Dark Northern Spring 0 0 0Northern Spring 0 0 0Total Deliverable Grades 460 354 3,464Non-Del Grades/Ungraded""]"
11,84,11_pct_yr_change_bln,"['pct', 'yr', 'change', 'bln', 'sep', 'jun', 'june', 'jan', 'yr yr', 'balance']","['Economic Indicators and Trends', '', '', '', '', '', '', '', '', '']","['INDICATORS - quarterly Quarter 12-mo Pvs qtr Yr agoGROSS DOMESTIC PRODUCT Q1 real change yr/yr (pct) +7.3 +7.4 +8.5 +5.7 absolute amount (skk bln) n/a 416.7 108.5 95.2 household demand (pct change) n/a +3.4 +15.1 +9.6 gross creation/fixed capital n/a +5.8 +19.4 -12.2 exports of goods and services1Q+2.8 +18.5 +18.5', 'pct change mo/mo 0.3 0.2 1.0 pct change yr/yr 5.5 6.2 10.8Foodstuffs pct change month/month 0.6 -0.9 1.2 pct change year/year 4.7 5.2 13.1Non-food items pct change month/month 0.1 0.7 0.3 pct change year/year 6.5 6.8 8.7Public catering pct change month/month 0.3 0.6 1.2 pct change year/year 5.6 6.6 13.6Services', '+15.3 (+16.0) +10.7Agricultural prices pct change month/month n/a n/a n/a pct change year/year +1.8 +2.0 +11.9 INDUSTRIAL OUTPUT June pct change yr/yr -1.8 0.0 +7.9Construction Output pct change yr/yr +5.1 +2.5 +5.0RETAIL SALES real pct change yr/yr June -3.4 -2.5 +2.2AVERAGE INDUST WAGES real pct change yr/yr June n/a +8.0']"
12,83,12_names_plan_sandler_recovery,"['names', 'plan', 'sandler', 'recovery', 'judge', 'case', 'liabilities', 'investors', 'court', 'weapons']","[""Lloyd's of London legal disputes"", '', '', '', '', '', '', '', '', '']","['which dismissed action brought against the market by four Names. They had claimed that Lloyd\'s knew long ago the extent of liabilities faced by Names.""We are pleased by this decision. Names entered into their commitments under UK law and we are pleased that U.S. courts continue to recognise this,"" said', 'another court case in New York, which dismissed action brought against the market by four Names.They had claimed that Lloyd\'s knew long ago the extent of liabilities faced by Names.""We are pleased by this decision. Names entered into their commitments under U.K. law and we are pleased that U.S. courts', 'another court case in New York, which dismissed action brought against the market by four Names.They had claimed that Lloyd\'s knew long ago the extent of liabilities faced by Names.""We are pleased by this decision. Names entered into their commitments under U.K. law and we are pleased that U.S. courts']"
13,70,13_beat_ranked_rugby_captain,"['beat', 'ranked', 'rugby', 'captain', 'cup', 'page', 'players', 'round', 'fatialofa', 'tournament']","['Tennis tournament results', '', '', '', '', '', '', '', '', '']","['6-3Sebastien Lareau (Canada) beat Jocelyn Robichaud (Canada) 6-16-4Patrick Rafter (Australia) beat Carlos Costa (Spain) 7-6(8-6) 6-2Chris Woodruff (U.S.) beat Sebastien LeBlanc (Canada) 6-4 6-3Daniel Vacek (Czech Republic) beat Bernd Karbacher (Germany)6-4 4-6 6-3Javier Sanchez (Spain) beat Scott Draper (Australia) 7-6(7-5) 7-6 (7-5)Mikael Tillstrom (Sweden) beat Joern Renzenbrink (Germany)6-3 1-6 6-3Gregory', 'Results from the Canadian Opentennis tournament on Monday (prefix number denotes seeding):First roundAndrea Gaudenzi (Italy) beat 10-Arnaud Boetsch (France) 3-67-5 6-211-Alberto Berasategui (Spain) beat Filip Dewulf (Belgium)6-4 6-012-Francisco Clavet (Spain) beat Mauricio Hadad (Colombia)6-4 6-4Todd Woodbridge (Australia) beat 15-Mark Woodforde(Australia) 6-3 7-5Alex Corretja (Spain) beat Guy Forget (France) 6-3 3-6', 'Results from theWaldbaum Hamlet Cup tennis tournament on Monday (prefix numberdenotes seeding):First round1-Michael Chang (U.S.) beat David Prinosil (Germany) 6-1 6-36-Younes El Aynaoui (Morocco) beat Nicolas Lapentti (Ecuador)6-4 6-3Hicham Arazi (Morocco) beat 8-Magnus Larsson (Sweden) 6-3 2-66-4Karol Kucera (Slovakia) beat Guillermo Canas (Argentina) 2-66-3 6-4Thomas Johansson (Sweden) beat Stefano Pescosolido']"
14,69,14_billion_imports_june_trade,"['billion', 'imports', 'june', 'trade', 'exports', 'coffee', 'deficit', 'merchandise', 'billion june', 'percent']","['US Trade Deficit', '', '', '', '', '', '', '', '', '']","['The U.S. trade gap narrowed dramatically in June as imports of merchandise and petroleum plunged from May levels, the Commerce Department said on Tuesday.The monthly deficit dropped 23.1 percent to $8.11 billion from a revised $10.55 billion in May -- much lower than the $9.4 billion shortfall that Wall Street', 'The U.S. trade gap narrowed dramatically in June as imports of merchandise and petroleum plunged from May levels, the Commerce Department said Tuesday.The monthly deficit dropped 23.1 percent to $8.11 billion from a revised $10.55 billion in May -- much lower than the $9.4 billion shortfall that Wall Street economists', 'The U.S. trade gap narrowed dramatically in June as imports of merchandise and petroleum plunged from May levels, the Commerce Department said Tuesday.The monthly deficit dropped 23.1 percent to $8.11 billion from a revised $10.55 billion in May -- much lower than the $9.4 billion shortfall that Wall Street economists']"
15,68,15_pac_apartheid_truth_police,"['pac', 'apartheid', 'truth', 'police', 'party', 'crime', 'anc', 'makwetu', 'klerk', 'mandela']","['Radical Black Political Party Actions During Apartheid', '', '', '', '', '', '', '', '', '']","[""from political parties aimed at giving a broad perspective of their activities during apartheid.The PAC broke away from the African National Congress in 1959 but never achieved the mass appeal of President Nelson Mandela's party.Less than two percent of South Africans voted for the PAC in the country's first all-race"", ""South Africa's radical black Pan Africanist Congress (PAC) on Tuesday acknowledged that its guerrillas targeted white civilians but said it made no apologies.PAC leader Clarence Makwetu told the Truth and Reconciliation Commission commission, headed by Archbishop Desmond Tutu, that the PAC regretted the 1993 killing of American student Amy Biehl"", ""and Reconciliation Commission this week is hearing submissions from political parties aimed at giving a broad perspective of their activities durig the apartheid years.The PAC broke away from the African National Congress in 1959 but never achieved the mass appeal of President Nelson Mandela's party.Less than two percent of South""]"
16,66,16_chrysler_plant_argentina_brazil,"['chrysler', 'plant', 'argentina', 'brazil', 'jeep', 'diesel', 'engines', 'production', 'trucks', 'vehicles']","[""Chrysler's Latin American Expansion"", '', '', '', '', '', '', '', '', '']","['a Chrysler Jeep assembly plant in Toledo, Ohio, for use in export production.The new operation is expected to begin production in early 1998, Detroit Diesel said in a statement. Chrysler said Tuesday it plans to build a manufacturing plant in Brazil to assemble a new Dakota pickup truck. It also', 'trucks in Brazil and Jeep Cherokee sport/utility vehicles in Argentina.Chief among those is Detroit Diesel Corp, which announced an investment of more than $10 million to build a new diesel engine plant in Brazil for the Chrysler vehicles. Others suppliers supporting the Chrysler expansion in Latin America include Dana Corp,', ""Detroit Diesel Corp said Tuesday it plans to establish a new engine manufacturing operation in Brazil to provide diesel engines to Chrysler Corp.The engines will be used for Chrysler's new Dakota assembly plant in Brazil and for a Jeep Cherokee assembly plant in Argentina.The engines will also be used by""]"
17,65,17_elections_kodjo_bosnia_prime,"['elections', 'kodjo', 'bosnia', 'prime', 'prime minister', 'bosnian', 'minister', 'karadzic', 'party', 'serb']","['Togolese political developments', '', '', '', '', '', '', '', '', '']","[""in by-elections this month.Eyadema's party won two seats outright on August 4 and one in a runoff on Sunday. The main opposition Action Committee for Renewal (CAR) boycotted all three by-elections.Before the by-elections Eyadema's RPT had 35 seats of its own, plus two from its allies in the Union for"", ""Togo's President Gnassingbe Eyadema on Tuesday named a technocrat prime minister from among his supporters after his party won three more parliament seats in by-elections earlier this month.A presidential decree announced the appointment of Kwassi Klutse, minister of planning and regional development in the outgoing government.Edem Kodjo, leader of the"", 'and his Togolese Union for Democracy (UTD) were part of an opposition alliance that won a majority in the 1994 parliamentary elections until the Supreme Court annulled three of its seats citing irregularities.Kodjo broke ranks with his allies in the main opposition party, the Action Committee for Renewal (CAR), and']"
18,63,18_israel_israeli_syria_lebanon,"['israel', 'israeli', 'syria', 'lebanon', 'missile', 'palestinian', 'west bank', 'peace', 'gaza', 'launch']","['Middle East conflict and tensions', '', '', '', '', '', '', '', '', '']","[""Israel sought to reassure its citizens on Tuesday following reports that Syria had recently tested a long-range Scud missile capable of hitting targets across the Jewish state.Israel test fired its Arrow 2 anti-missile missile on Tuesday as its media reported that Syria was holding military exercises.Israel's Channel Two television reported"", 'The tension with Syria is also bad for trading,"" he added.Israeli television reported on Monday that Syria had tested a long-range Scud missile able to hit Israeli cities. Prime Minister Benjamin Netanyahu has also warned that problems in Lebanon would be bad for Damascus.The First International Bank of Israel gained', 'Israel said on Tuesday it would not redeploy its troops in the West Bank city of Hebron until the Palestinian Authority closed its offices in Arab East Jerusalem.Under a peace accord with the PLO, Israel at the end of March was due to have redeployed its troops in Hebron, the']"
19,61,19_tobacco_morris_philip morris_philip,"['tobacco', 'morris', 'philip morris', 'philip', 'arizona', 'suit', 'filed', 'kansas', 'smoking', 'tobacco industry']","['Tobacco industry legal disputes', '', '', '', '', '', '', '', '', '']","['Kansas and Arizona filed lawsuits Tuesday against major tobacco companies to recover Medicaid costs for smoking-related illnesses, joining a growing list of states and cities taking on Big Tobacco in court.Kansas became the 11th state and Arizona the 12th to join the anti-tobacco litigation.Kansas Attorney General Carla Stovall told a', 'Philip Morris on Tuesday criticized the Kansas attorney general\'s decision to join a growing list of states filing lawsuits against tobacco firms, seeking to recover Medicaid money spent on tobacco-related illnesses.Philip Morris said Kansas Attorney General Carla Stovall is seeking to use the courts to ""legislate public policy on tobacco.""Philip', 'a year.Among the defendants in the two lawsuits were RJ Reynolds Tobacco Co., Brown &amp; Williamson Tobacco Corp., Philip Morris Cos. Inc., Lorillard Tobacco Co. Inc., American Tobacco Co., public relations firm Hill and Knowlton Inc., the Council for Tobacco Research, and the Tobacco Institute.</']"
20,60,20_strike_cgt_union_unions,"['strike', 'cgt', 'union', 'unions', 'workers', 'violence', 'meeting', 'members', 'hour', 'vote']","['Argentine Labor Unrest', '', '', '', '', '', '', '', '', '']","['which is normally close to President Carlos Menem\'s government but led the first strike, wants a 36-hour strike in September while other, more hardline unions want a 48-hour stoppage.CGT chief Gerardo Martinez, speaking to local radio, blamed the gunfight on ""outside groups who want to damage the image of the', 'said two of the seven hurt had serious injuries, one in the chest and another in the leg.The CGT, which led a 24-hour strike on Aug. 8 and wants a 36-hour strike next month, blamed the shooting on ""outside groups who want to damage the image of the unions.""Some CGT', ""Argentine unions called off Tuesday's meeting due to vote on whether to hold a general strike next month after a gunfight in which at least four members of a truck drivers' union were injured.Francisco Gutierrez of the main CGT labor federation told reporters the meeting at a union leisure center""]"
21,60,21_inflation_naira_price_prices,"['inflation', 'naira', 'price', 'prices', 'percent', 'zimbabwe', 'nigeria', 'farmers', 'increases', 'july']","['Grain price inflation in Czech Republic and Nigeria', '', '', '', '', '', '', '', '', '']","['market) would mean that the market would aim toward... world prices, which would have serious impact on the development of inflation,"" Weigl told reporters.Farmers have demanded price hikes saying their costs have grown.Speaking about long-term grain market strategy, Weigl said that ""most of the ministers"" objected to the European Union', 'told reporters.Farmers have demanded price hikes saying their costs have grown.Speaking about long-term grain market strategy, Weigl said that ""most of the ministers"" objected to the European Union (EU) system of guaranteed grain prices.The Czechs have applied to join the EU, but Prime Minister Vaclav Klaus, has often criticised the', 'domestic demand and therefore there was no reason for price hikes.""The state is ready to play an active role and take measures against price increases and the pressure of producers,"" he added.Czech grain prices have been several hundred crowns below the world market price per tonne, but Weigl said the']"
22,59,22_hog_cattle_beef_lbs,"['hog', 'cattle', 'beef', 'lbs', '00', 'futures', '700', 'ago', 'lb', 'cme']","['Meat and livestock market trends', '', '', '', '', '', '', '', '', '']","[""$58.50 to $59.00 at the plant.Interior Iowa/southern Minnesota hog marketings Monday totaled 105,000 head, well above that day's estimate of 100,000, USDA said. Tuesday's estimate was 100,000 head, above 97,000 a week ago but below 107,000 a year ago. Larger-than-expected interior hog receipts weighed on cash hog prices as packers"", 'Receipts Tuesday 55,250, Week Ago 53,800, Year Ago 46,200. Trend: Steady to $0.99 lower. - USDALean Value Summary for 170-191 lbs Carcasses Percent 10th Rib Last Rib Carcass CwtLean Backfat Backfat Price Range45-46 1.15-1.24"" 1.20-1.29"" 77.40 79.0347-48 1.00-1.14"" 1.10-1.19"" 78.15 80.2049-50 .90- .99"" 1.00-1.09"" 79.40 81.3751-52 .75- .89"" .80- .99""', 'cattle to be shipped this week and 44 loads or 1,500 CME cattle.Note - all cattle prices based on net weights FOB the feedlot after a 4 percent shrink.Slaughter Steers - Select and Choice 2-3 1150-1250 lbs 68.00, few early 67.00. Select and Choice 1-3 1200-1350 lb Holsteins 60.00-62.00.Slaughter Heifers']"
23,57,23_taiwan_lien_china_beijing,"['taiwan', 'lien', 'china', 'beijing', 'ukraine', 'links', 'shipping', 'taipei', 'chinese', 'direct']","[""Lien Chan's Mysterious European Mission and Its Implications for Cross-Strait Relations"", '', '', '', '', '', '', '', '', '']","['Taiwan Television, said a Lien-Kuchma meeting was possible.""So far there is no such meeting in the plan, but it may take place absolutely unexpectedly,"" the spokeswoman said.Ukraine Foreign Minister Hennady Udovenko said Kiev considered Taiwan an ""integral part of continental China"" and had no information on Lien\'s visit.Officials of Ukraine\'s', ""Chinese communist government in Beijing, not Taiwan's exiled Republic of China, but has made clear its desire for better ties with Taiwan and its powerful export-driven economy.China, which regards Taiwan as a rebel province not entitled to foreign relations, has sternly criticised countries that have entertained visits by Lien and"", 'Taiwan Vice President Lien Chan emerged in Kiev on Tuesday, two days after vanishing on a mysterious European mission, raising the prospect of diplomatic sparks between Ukraine and communist China.Taiwan Television showed Lien with his wife and other Taiwan and Ukraine officials posing at the University of Kiev, where the']"
24,55,24_bond_prison_sentence_fraud,"['bond', 'prison', 'sentence', 'fraud', 'kennedy', 'jail', 'susan', 'clinton', 'sentenced', 'years']","['White collar crime cases', '', '', '', '', '', '', '', '', '']","['Failed Australian businessman Alan Bond was jailed for three years on Tuesday for fraud involving the French impressionist painting, La Promenade.In sentencing Bond, the Australian judge said the jail term was not the maximum 14-year sentence, but it would be like a ""life sentence"" as it would haunt the former', 'Failed Australian businessman Alan Bond was sentenced to three years in jail Tuesday for fraud involving the French impressionist painting, La Promenade.The Western Australia District Court sentenced Bond after a jury last Friday found him guilty of four fraud charges, brought by the corporate watchdog the Australian Securities Commission, which', 'Failed Australian businessman Alan Bond was sentenced to three years in jail on Tuesday for fraud involving the French impressionist painting, La Promenade.In sentencing Bond, Western Australia District Court Judge Antoinette Kennedy said that while the jail term was not the maximum 14 years she could impose, it would seem']"
25,53,25_brazil_july_brazilian_reais,"['brazil', 'july', 'brazilian', 'reais', 'paulo', 'sao paulo', 'sao', 'dollar', 'real', 'trade deficit']","['Brazilian currency exchange rates in July', '', '', '', '', '', '', '', '', '']","['traded between 1.013 and 1.018 per dollar.-- Romina Nicaretta, Sao Paulo Newsroom 55-11-2324411</', ""Brazil's central bank announced a dollar buy tender in the commercial foreign exchange market, dealers said.The real was quoted at 1.0140 reais per dollar before the auction, they added.-- Romina Nicaretta, Sao Paulo newsroom, 55-11-2324411</"", ""Brazil's central bank bought dollars at 1.0140 reais per dollar in the buy auction in the commercial foreign exchange market, dealers said.-- Romina Nicaretta, Sao Paulo newsroom, 55-11-2324411</""]"
26,52,26_sugar_tonnes_million tonnes_grain,"['sugar', 'tonnes', 'million tonnes', 'grain', 'harvest', 'hectares', 'million', 'zaveryukha', '000 tonnes', 'imports']","['Russian Grain Harvest and Exports', '', '', '', '', '', '', '', '', '']","['of a 77 million tonne grain harvest affords the possibility of balance in our own food supplies."" Zaveryukha did not give export or import figures, but Interfax news agency quoted him last week as predicting that grain exports could be four-five million tonnes this year and imports would be about', 'in Romania by October.""Under the present circumstances I think Romania will have to import up to 300,000 tonnes of raw sugar to meet demand.""Romania\'s 1995 sugar production was 300,000 tonnes. Data show the Balkan country imported 246,489 tonnes of sugar last year and 90,230 tonnes over January-May 1996.A continuing drop', ""harvesters to Siberia, the last major region to harvest its wheat and a key to Russian grain independence.The government forecasts the grain harvest this year will be 77 million tonne harvest, well up on last year's drought-hit 63.4 million tonnes. Some independent estimates say a harvest of 72 million tonnes""]"
27,52,27_bank_reais_million reais_liquidity,"['bank', 'reais', 'million reais', 'liquidity', 'billion reais', 'billion', 'central bank', 'caracas', 'central', 'venezuela']","['Financial struggles of Bamerindus bank', '', '', '', '', '', '', '', '', '']","[""million reais or 12 percent of its net worth. Efforts to increase banking service revenues were also part of the bank's strategy to improve its finances. Bamerindus said receipts from banking services rose to 255 million reais in the first half, up from 214 million reais in the same period"", ""holding company.Despite the positive results, the Central Bank will require an injection of at least 1.0 billion reais in the bank to solve Bamerindus' liquidity troubles, O Globo said.Bamerindus, Brazil's fourth-largest private bank, has been in recent months plagued by rumors of liquidity problems and speculation that the bank would"", 'central bank,"" he said, noting that Bamerindus has been in talks with the central bank.Schulman said the bank has about 2.0 billion reais in government debt paper that could be sold or used to back the loan. Bamerindus has already raised about 500 million reais by selling stakes in steel']"
