Topic,Count,Name,Representation,Llama2,Representative_Docs
9,102,9_trade_gatt_house_reagan,"['trade', 'gatt', 'house', 'reagan', 'legislation', 'ways means', 'subcommittee', 'ways', 'baldrige', 'congress']","['Trade legislation and GATT negotiations, 1980s', '', '', '', '', '', '', '', '', '']","['TRADE BILL TO CHANGE AGRICULTURE TRADE LAWS The House Ways and Means Committee is moving toward passage of a trade bill that sponsors said was intended to help open foreign markets to U.S. agricultural goods and to modify some U.S. agricultural trade laws. The trade subcommittee voted to require President', 'U.S. HOUSE PANEL APPROVES TRADE BILL The U.S. House Ways and Means Trade Subcommittee unanimously approved a toned-down version of legislation designed to toughen U.S. trade laws and wedge open foreign markets to more U.S. goods. The measure now goes to the full House Ways and Means Committee next week,', 'U.S. HOUSE PANEL APPROVES TRADE BILL The House Ways and Means Trade Subcommittee unanimously approved a toned-down version of legislation designed to toughen U.S. trade laws and wedge open foreign markets to more U.S. goods. The measure now goes to the full House Ways and Means Committee next week, but']"
10,94,10_ecuador_pipeline_oil_venezuela,"['ecuador', 'pipeline', 'oil', 'venezuela', 'earthquake', 'crude', 'energy', 'barrels', 'santos', 'minister']","[""Ecuador's Oil Industry After Earthquake"", '', '', '', '', '', '', '', '', '']","[""week. Ecuador was forced to suspend exports after the pipeline connecting its jungle oil fields with the pacific port of Balao was put out of action. Venezuela has an output quota of 1.495 bpd, while Ecuador's is 210,000 bpd. Santos Alvite said Ecuador will ask OPEC to allow it to"", ""ECUADOR DEPUTY MINISTER SEEKS OIL AID IN VENEZUELA Ecuador's deputy energy minister Fernando Santos Alvite arrived here last night for talks on further Venezuelan assistance to his country's oil industry following last week's earthquake, officials said. Ecuador was obliged to suspend crude oil exports for an expected five months as"", ""ECUADOR OFFICIAL SEEKS OIL AID IN VENEZUELA Ecuador's deputy energy minister Fernando Santos Alvite arrived here last night for talks on further Venezuelan assistance to his country's oil industry following last week's earthquake, officials said. Ecuador was obliged to suspend crude oil exports for an expected five months as a""]"
11,84,11_strike_seamen_brazil_ports,"['strike', 'seamen', 'brazil', 'ports', 'union', 'ships', 'workers', 'seamen strike', 'leaders', 'brazilian']","['Brazilian Seamen Strike', '', '', '', '', '', '', '', '', '']","[""TWO BRAZILIAN SHIPPING FIRMS SETTLE WITH STRIKERS Two small shipping companies have reached a pay deal with striking seamen, but union leaders said most of Brazil's 40,000 seamen were still on strike. A union spokesman in Rio de Janeiro said the seamen had accepted a 120 pct pay offer from"", ""TWO BRAZILIAN SHIPPING FIRMS SETTLE WITH STRIKERS Two small shipping companies have reached a pay deal with striking seamen, but union leaders said most of Brazil's 40,000 seamen were still on strike. A union spokesman in Rio de Janeiro said the seamen had accepted a 120 pct pay offer from"", 'BRAZIL SEAMEN CONTINUE STRIKE DESPITE COURT Hundreds of marines were on alert at 11 key Brazilian ports after 40,000 seamen decided to remain on indefinite strike, even after the Higher Labour Court Saturday ruled it illegal, union leaders said. The halt, the first national strike by seamen in 25 years,']"
12,83,12_hughes_baker_merger_tool,"['hughes', 'baker', 'merger', 'tool', 'hughes tool', 'suit', 'baker international', 'court', 'decree', 'baird']","['Mergers and acquisitions of Hughes Tool and Baker International', '', '', '', '', '', '', '', '', '']","['HUGHES &lt;HT> APPROVES MERGER WITH BAKER &lt;BKO> An overwhelming majority of Hughes Tool Co shareholders approved a merger agreement with Baker International Corp based on revised terms that allow the companies additional time to sell a drilling bit business as required by the U.S. Justice Department. Hughes chairman William Kistler', 'HUGHES &lt;HT> CHANGES STANCE ON MERGER AFTER SUIT A one billion dlr lawsuit pushed Hughes Tool Co into an about-face on its rejection of a proposed merger with Baker International Corp &lt;BKO>, Wall Street analysts said. Last night, Hughes said the planned merger with Baker was off. Baker then filed', 'BAKER &lt;BKO> SUES TO FORCE HUGHES &lt;HT> MERGER Baker International corp said it has filed suit in state court in Houston to compel Hughes Tool Co to complete its proposed merger with Baker. Late yesterday, Hughes said it had terminated the merger agreement because Baker would not agree to an']"
13,80,13_bpd_mln bpd_opec_output,"['bpd', 'mln bpd', 'opec', 'output', 'saudi', '000 bpd', 'quota', 'arabia', 'saudi arabia', 'kuwait']","['OPEC Production Cuts', '', '', '', '', '', '', '', '', '']","['EARLY MARCH OPEC OUTPUT SEEN WELL BELOW CEILING OPEC crude oil output in the first few days of March was running at about 14.7 mln bpd, down from a 16 mln bpd average for February and well below the 15.8 mln bpd ceiling the group adopted in December, a Reuter', 'quota violations, was estimated to be pumping 1.4 mln bpd in February and 1.15 in early March -- both figures including 200,000 bpd as its share of Neutral Zone output -- against its 948,000 bpd quota. Reports of customer resistance to fixed prices set by some OPEC states were reflected', 'early March, the figures showed. Saudi output -- excluding movements into stocks -- fell to 3.1 mln bpd in early March from 3.5 mln bpd in February, against a 4.133 mln bpd quota. The Saudi figures include a 200,000 bpd share of Neutral Zone production. Kuwait, which has consistently denied']"
14,77,14_92_wheat_farm_feedgrains,"['92', 'wheat', 'farm', 'feedgrains', 'decoupling', 'dole', 'agriculture', 'farmers', 'house', 'house agriculture']","['\nAgricultural Policy: 0/92 Program for Wheat', '', '', '', '', '', '', '', '', '']","['U.S. FEEDGRAIN 0/92 SUPPORTERS EVALUATE POSITION Advocates of a 0/92 plan for feedgrains will likely delay offering their proposals if a disaster aid bill before the House Agriculture Committee is scaled back to include only 1987 winter wheat, congressional sources said. The disaster aid bill, introduced by Rep. Glenn English', 'HOUSE 0/92 PLAN SEEN SCALED-BACK TO 1987 WHEAT Key members of the House Agriculture committee have agreed to scale-back the 0/92 provision of a pending disaster aid bill to cover only 1987 crop wheat, but a broader 0/92 proposal is likely to be resurrected later, Congressional sources said. The sources', 'proposal by English allowing a pilot 0/92 program for 1987 wheat only. That provision was later broadened by the subcommittee to include 1988 crop winter wheat. Under 0/92, a farmer can forego planting a crop but still collect 92 pct of deficiency payments. Earlier today, the House Agriculture committee postponed']"
15,76,15_sales_retail sales_retail_february,"['sales', 'retail sales', 'retail', 'february', 'january', 'pct', 'pct january', 'sales rose', 'retailers', 'store']","['Retail Sales Trends', '', '', '', '', '', '', '', '', '']","['The department previously reported January retail sales fell 5.8 pct. Excluding autos, retail sales in February were up 1.5 pct after falling by a revised 0.4 pct in January. Department spokesmen said the major cause for the revision downward in January sales was a weaker January auto dealer sales figure', ""U.S. RETAIL SALES RISE MASKS WEAK TREND - ANALYSTS U.S. retail sales rose sharply in February but many economists said the underlying consumer spending trend remains weak. February retail sales jumped 4.1 pct, more than the 2.5-3.0 pct rise the financial markets had anticipated. But January's sales were revised down"", 'U.K. RETAIL SALES RISE 2.2 PCT IN FEBRUARY The volume of U.K. Retail sales rose a provisional, seasonally adjusted 2.2 pct in February after falling a final 2.2 pct in January, figures released by the Department of Trade and Industry show. The February sales index, base 1980, was put at']"
16,73,16_rubber_pact_inra_conference,"['rubber', 'pact', 'inra', 'conference', 'price', 'consumers', 'natural rubber', 'new', 'producers', 'adjustment']","['Rubber industry negotiations', '', '', '', '', '', '', '', '', '']","['MALAYSIA WELCOMES ACCORD ON NEW RUBBER PACT Malaysian Primary Industries Minister Lim Keng Yaik welcomed the basic accord reached over the weekend in Geneva between producers and consumers on a new International Natural Rubber Agreement (INRA). ""This is a good development and if a new pact is adopted this week', 'MAJOR DIFFERENCES RESOLVED AT RUBBER PACT TALKS Negotiators at a United Nations conference on a new International Natural Rubber Agreement (INRA) have agreed on basic elements in a new pact, conference chairman Manaspas Xuto said. ""We have resolved major differences of opinion,"" he told Reuters. Xuto said the way is', 'RUBBER PRODUCERS, CONSUMERS START NEW PACT TALKS The chairman of the conference on a new International Natural Rubber Agreement (INRA), Manaspas Xuto of Thailand, said it was imperative to try to settle the main outstanding issues this week. The INRA renegotiation conference, which resumed today under the auspices of the']"
17,72,17_dividend qtly_qtly_dividend_div,"['dividend qtly', 'qtly', 'dividend', 'div', 'qtly div', 'record', 'cts', 'pay', 'record march', 'cts pay']","['Quarterly dividends and financial records', '', '', '', '', '', '', '', '', '']","['ROWE FURNITURE CORP &lt;ROWE> SETS QTLY DIVIDEND Qtly div four cts vs four cts prior Pay April 15 Record March 20', 'AFG INDUSTRIES INC &lt;AFG> QUARTERLY DIVIDEND Qtly div four cts vs four cts Pay April 3 Record March 23', 'TULTEX CORP &lt;TTX> SETS QUARTERLY DIVIDEND Qtly div eights cts vs eight cts prior Pay April one Record March 13']"
18,69,18_ec_oils_fats_tax,"['ec', 'oils', 'fats', 'tax', 'oils fats', 'community', 'european', 'european community', 'vegetable', 'vegetable oils']","['\nEC Oils and Fats Tax Proposal', '', '', '', '', '', '', '', '', '']","['EC CONCERNED OVER U.S. TEXTILE IMPORT MOVES The European Community (EC) expressed disquiet over protectionist moves in the United States to limit imports of textiles and said it would retaliate immediately if EC exports were hit. A spokeswoman for the EC Commission said EC External Trade Commissioner Willy De Clercq', 'tax on edible oils and fats that has already angered EC consumer groups and unleashed Washington-led protests from exporters to the EC, diplomats said. West Germany, also opposed to the oils and fats tax, will advise the meeting formally later today it cannot countenance other proposals that could hit German', 'TENSE TRADE TIES TO DOMINATE EC TALKS Tense trade relations with the U.S. And Japan and concern about the foreign impact of a proposed European Community (EC) tax on edible oils and fats are expected to dominate talks by EC foreign ministers here tomorrow. EC diplomats said Britain demanded the']"
19,67,19_barrels_mln barrels_oil_reserves,"['barrels', 'mln barrels', 'oil', 'reserves', 'gas', 'wells', 'cubic', 'natural gas', 'cubic feet', 'natural']","['Oil and Gas Reserves', '', '', '', '', '', '', '', '', '']","['were off 500,000 barrels in the week to 251.0 mln barrels and refinery crude oil stocks fell 1.2 mln barrels to 331.8 mln. The EIA said residual fuel stocks fell 1.5 mln barrels to 36.4 mln barrels and crude oil stocks in the Strategic Petroleum Reserve (SPR) rose 200,000 barrels', ""to 837 mln barrels from 853 mln barrels in 1985, natural gas liquid reserves were also lower in 1986 from the previous year. Net proved crude oil reserves also fell in Canada to 224 mln barrels and in Europe to 403 mln barrels from the previous year's level of 231"", 'HAMILTON OIL &lt;HAML> SAYS RESERVES RISE Hamilton Oil Corp said reserves at the end of 1986 were 59.8 mln barrels of oil and 905.5 billion cubic feet of natural gas, or 211 mln barrels equivalent, up 10 mln equivalent barrels from a year before.']"
20,66,20_gold_ounce_ton_ounces,"['gold', 'ounce', 'ton', 'ounces', 'ounces gold', 'coins', 'coin', 'ore', 'reserves', 'platinum']","['Gold reserves and mining', '', '', '', '', '', '', '', '', '']","['are equivalent to 10 years future production at current milling rates. The reserves comprise 1,640,779 tons proven reserves grading an average of 0.163 ounces of gold a ton and 3,262,161 tons probable reserves grading an average of 0.127 ounces of gold a ton. Sigma said it changed its 1986 reserve', 'equivalent to 10 years future production at current milling rates. The reserves comprise 1,640,779 tons proven reserves grading an average of 0.163 ounces of gold a ton and 3,262,161 tons probable reserves grading an average of 0.127 ounces of gold a ton. Sigma said it changed its 1986 reserve reporting', 'SIGMA MINES DETAILS GOLD ORE RESERVES &lt;Sigma Mines (Quebec) Ltd>, 65 pct owned by Dome Mines Ltd, said its Sigma Mine had proven and probable reserves at the end of 1986 of 4,902,940 tons, with an average grade of 0.139 ounces of gold a ton. Sigma said the reserves are']"
21,64,21_merger_shareholders_company_instinet,"['merger', 'shareholders', 'company', 'instinet', 'merger talks', 'special meeting', 'meeting', 'said shareholders', 'vote', 'said']","['Merger plans for Instinet', '', '', '', '', '', '', '', '', '']","['review all the options available. The committee will consider all the pertinent facts and alternatives.... We intend to make a careful and informed decision but will proceed expeditiously to a conclusion,"" Knowlton said. Pending its deliberations, Harper and Row\'s board has postponed indefinitely a special meeting of stockholders that had', 'the meeting date is subject to adjustment, based on the length of time needed for the U.S. Securities and Exchange Commission to complete its review of the filing of merger proxy materials, which Instinet expects to make before the end of March. Instinet said the filing of the preliminary merger', ""INSTINET &lt;INET> SETS MEETING ON MERGER Instinet Corp said its board has scheduled a special shareholders' meeting for May 21 to vote on its proposed merger into Reuters Holdings PLC &lt;RTRSY>. It said shareholders of record as of April 10 will be eligible to vote at the meeting. Instinet said""]"
22,63,22_francs_money_billion francs_bank france,"['francs', 'money', 'billion francs', 'bank france', 'france', 'swiss', 'intervention rate', 'money market', 'rate', 'bank']","['Monetary policy in Switzerland and France', '', '', '', '', '', '', '', '', '']","['BANK OF FRANCE SETS MONEY MARKET TENDER The Bank of France said it invited offers of first category paper today for a money market intervention tender. Money market dealers said conditions seemed right for the Bank to cut its intervention rate at the tender by a quarter percentage point to', 'Bank of France said it cut money market intervention rate to 7-3/4 pct from eight pct Bank of France said it cut money market intervention rate to 7-3/4 pct from eight pct', 'BANK OF FRANCE CUTS INTERVENTION RATE The Bank of France said it cut its money market intervention rate to 7-3/4 pct from eight pct when it injected money against first category paper. The bank also cut its seven-day repossession rate to 8-1/2 pct from 8-3/4 pct. The intervention rate has']"
23,63,23_money supply_supply_money_pct,"['money supply', 'supply', 'money', 'pct', 'rose', 'december', 'billion', 'billion dlrs', 'growth', 'supply rose']","['\nMonetary growth and supply', '', '', '', '', '', '', '', '', '']","[""N.Z. MONEY SUPPLY RISES 3.6 PCT IN DECEMBER New Zealand's broadly defined, seasonally adjusted M-3 money supply grew an estimated 3.6 pct in December after rising a revised 2.4 pct in November and 4.04 pct in December last year, the Reserve Bank said in a statement. It said unadjusted M-3"", ""U.S. M-1 MONEY SUPPLY ROSE 2.1 BILLION DLRS U.S. M-1 money supply rose 2.1 billion dlrs to a seasonally adjusted 736.7 billion dlrs in the February 16 week, the Federal Reserve said. The previous week's M-1 level was revised to 734.6 billion dlrs from 734.2 billion dlrs, while the four-week"", ""U.S. M-1 MONEY SUPPLY RISES 1.9 BILLION DLRS U.S. M-1 money supply rose 1.9 billion dlrs to a seasonally adjusted 738.5 billion dlrs in the February 23 week, the Federal Reserve said. The previous week's M-1 level was revised to 736.6 billion dlrs from 736.7 billion dlrs, while the four-week""]"
24,63,24_winter_crops_mm_temperatures,"['winter', 'crops', 'mm', 'temperatures', 'rains', 'weather', 'areas', 'crop', 'snow', 'grain']","['Winter Crop Damage', '', '', '', '', '', '', '', '', '']","['crops do not have snow cover, making winterkill possible on each of the next two nights. Lowest temperatures will be minus 10 to 0 degrees F. Winter wheat areas from eastern Czechoslovakia through northern Romania had light snow flurries yesterday and last night, but amounts were an inch or less.', 'yield lower than winter crops -- sometimes as much as 30-35 pct lower. Normally winterkill is caused by inadequate snowcover combined with cold temperatures. This winter, however, snowcover in Soviet grain areas has generally been excellent, so the bulk of winterkill, analysts speculate, likely has been due to a very', 'EAST EUROPE WHEAT WINTERKILL POSSIBLE, ACCU SAYS Winter wheat crops in the western Soviet Union, Poland and eastern Czechoslovakia through northern Romania may suffer some winterkill over the next two nights, private forecaster Accu-Weather Inc said. Western USSR winter wheat areas have had only light and spotty snow and winterkill']"
25,63,25_chrysler_amc_motors_american motors,"['chrysler', 'amc', 'motors', 'american motors', 'chrysler corp', 'american', 'motors corp', 'amo', 'lt amo', 'corp']","['Chrysler-AMC Merger', '', '', '', '', '', '', '', '', '']","['AMC &lt;AMO> STUDYING CHRYSLER &lt;C> PROPOSAL American Motors Corp said it is studying a proposed merger with Chrysler Corp. American Motors said it received a letter from Chrysler Corp ""advising us of their proposal to enter into a merger transaction with American Motors Corp."" In a brief statement, the company', ""CHRYSLER &lt;C> VALUES AMC &lt;AMO> AT 757 MLN DLRS Chrysler Corp said it valued its proposed buyout of American Motors Corp at 757 mln dlrs, not counting the effect of a contingent payment that could reach 350 mln dlrs based on AMC's future profits. A Chrysler spokesman told Reuters that"", 'CHRYSLER &lt;C> IN DEAL TO BUY AMC &lt;AMO> Chrysler Corp said it agreed in principle with French state-owned Renault to acquire American Motors Corp., in which Renault is controlling shareholder, under a deal in which AMC stockholders other than Renault would receive Chrysler common stock with a market value of']"
26,62,26_dollar_paris_nations_exchange rates,"['dollar', 'paris', 'nations', 'exchange rates', 'currencies', 'currency', 'accord', 'rates', 'stability', 'exchange']","['Paris Accord on Currency Stability', '', '', '', '', '', '', '', '', '']","['MIYAZAWA SAYS PARIS ACCORD HELPING STABILISE RATES Finance Minister Kiichi Miyazawa said the Paris currency accord has contributed to the stability of exchange rates. Miyazawa told a press conference the agreement reached last month in Paris by six major industrial nations to cooperate in bringing about currency stability has prevented', 'or minus 10 yen from 170 yen would be within levels agreed upon last month in Paris by six major industrial nations. Finance ministers of Britain, Canada, France, Japan, the U.S. And West Germany agreed on February 22 to cooperate in stabilizing exchange rates around the current levels. The dollar', 'or minus 10 yen from 170 yen would be within levels agreed upon last month in Paris by six major industrial nations. Finance ministers of Britain, Canada, France, Japan, the U.S. And West Germany agreed on February 22 to cooperate in stabilizing exchange rates around the current levels. The dollar']"
27,60,27_crude_bbl_50 cts_50,"['crude', 'bbl', '50 cts', '50', 'dlrs bbl', 'barrel', 'postings', 'raises crude', 'west texas', 'wti']","['Oil industry price updates', '', '', '', '', '', '', '', '', '']","[""UNOCAL &lt;UCL> RAISES CRUDE OIL POSTINGS Unocal Corp said it raised the contract price it will pay for most grades of crude oil 50 cts a barrel, effective today. The increase brings Unocal's posted price for the U.S. benchmark grade West Texas Intermediate to 17.50 dlrs a barrel. It also"", ""PHILLIPS &lt;P> RAISES CRUDE POSTINGS 50 CTS Phillips Petroleum said it raised the contract price it will for all grades of crude oil 50 cts a barrel, effective today. The increase brings Phillip's posted price for the West Texas Intermediate and West Texas Sour grades to 17.50 dlrs a bbl."", ""SUN &lt;SUN> RAISES CRUDE POSTINGS 50 CTS Sun Co said it raised the contract price it will pay for crude oil 50 cts a barrel, effective today. The increase brings Sun's posted price for the West Texas Intermediate and West Texas Sour grades to 17.50 dlrs/bbl. The Light Louisiana Sweet""]"
